rho,tol,method,instance,cpuTime,rawMVP,outerIterations,proxResidual,relativeRecoveryError,relativeFunctionGap,success
0.1,1e-06,TMAP-CG,10,0.8746082,296,8,0.000248079473976591,0.216390868613397,2.82111458865435e-08,1
0.1,1e-06,TMAP-L-BFGS,1,0.4481716,47,22,0.00117074878803528,0.233115521257022,6.53014569756771e-07,1
0.1,1e-06,TMAP-L-BFGS,2,0.4092232,45,21,0.00111381696746177,0.229205650723468,5.71651735266726e-07,1
0.1,1e-06,TMAP-L-BFGS,3,0.4392625,50,23,0.00103792602346661,0.21976760460849,5.31119776294424e-07,1
0.1,1e-06,TMAP-L-BFGS,4,0.4051067,45,21,0.0012658912626233,0.2300326941875,8.48927371276024e-07,1
0.1,1e-06,TMAP-L-BFGS,5,0.4033332,45,21,0.00136813884798137,0.241361472830266,8.14421897559828e-07,1
0.1,1e-06,TMAP-L-BFGS,6,0.4655055,49,23,0.000930065038117887,0.231491453989984,4.32871413150497e-07,1
0.1,1e-06,TMAP-L-BFGS,7,0.4602814,50,22,0.00137108402278559,0.216548550242222,9.40496016298318e-07,1
0.1,1e-06,TMAP-L-BFGS,8,0.3970365,43,20,0.00140850326989023,0.272739157148763,8.64743827560725e-07,1
0.1,1e-06,TMAP-L-BFGS,9,0.4612856,58,24,0.000986053951691236,0.236212829691742,4.39467942470112e-07,1
0.1,1e-06,TMAP-L-BFGS,10,0.4478784,49,23,0.00108747334122426,0.216352005496255,6.11143912469507e-07,1
0.1,1e-06,ASSN,1,0.7081898,79,8,3.25069315009537e-07,0.233114736685283,1.43901386460383e-09,1
0.1,1e-06,ASSN,2,0.7381521,79,9,1.31811871665205e-05,0.229188759252325,4.8970142832388e-07,1
0.1,1e-06,ASSN,3,0.747815,81,9,1.62587868701927e-05,0.21976797124577,5.78916162339633e-07,1
0.1,1e-06,ASSN,4,0.7963874,91,10,1.16495205448062e-07,0.229936157542135,7.30548267931487e-10,1
0.1,1e-06,ASSN,5,0.7011783,77,9,7.78140168235254e-06,0.241230452216252,1.51162755013794e-07,1
0.1,1e-06,ASSN,6,0.8329555,93,10,2.98379954531811e-07,0.231417478033104,2.04424312708557e-09,1
0.1,1e-06,ASSN,7,0.7860425,79,9,2.06382101861025e-05,0.216548075931093,7.42754817927139e-07,1
0.1,1e-06,ASSN,8,0.5865346,65,7,4.11291391563506e-05,0.272749340326314,5.55028190998582e-07,1
0.1,1e-06,ASSN,9,0.7258524,77,9,1.0126230611549e-05,0.236266336587307,2.59366628773141e-07,1
0.1,1e-06,ASSN,10,0.8402233,93,10,1.45567259557274e-07,0.216395405857723,8.77340719891487e-10,1
