rho,tol,method,meanTime,stdTime,meanRawMVP,stdRawMVP,meanOuterIterations,meanProxResidual,meanRelativeRecoveryError,meanRelativeFunctionGap,successRate
0.05,0.01,PSSgb-L-BFGS,0.30174703,0.0224809910263983,21,1.69967317119759,8.3,0.0766230004931608,0.168253222196145,0.00558770876599388,1
0.05,0.01,PSSgb-CG,0.75978769,0.130835911214183,151.2,36.8323529281286,7.5,0.0107789807242524,0.176073237079058,0.000123969335027112,1
0.05,0.01,FAST-2CDA-E,0.2909936,0.00367840163929934,6,0,5,0.00343559485942641,0.180404898419719,1.766131321188e-05,1
0.05,0.01,SpaRSA,0.44648033,0.0389857782026572,32.2,2.5298221281347,9.4,0.0517235281320912,0.158724623415191,0.00334232846107198,1
0.05,0.01,TMAP-CG,0.59115839,0.0449820177929025,176.7,16.2825741890594,5.1,0.0149938993432002,0.176104282195041,0.000272379828995636,1
0.05,0.01,TMAP-L-BFGS,0.22647174,0.0179983783469635,27,2.3094010767585,10.2,0.082394262075377,0.18647546571843,0.00703124383662604,1
0.05,0.01,ASSN,0.53831865,0.0392066174265476,55.6,2.67498701969852,6.9,0.00733352056666168,0.177636135689272,0.00183733877723687,1
0.05,0.0001,PSSgb-L-BFGS,0.3682548,0.0235246692780154,25.4,1.64654520469713,10.5,0.00549686439761971,0.180470754015058,3.21525182842081e-05,1
0.05,0.0001,PSSgb-CG,0.7271797,0.0218042486800674,151.2,9.15059196627919,7.7,0.00339049035324307,0.180194205264012,1.72921738583498e-05,1
0.05,0.0001,FAST-2CDA-E,0.32607406,0.0102234229159427,8.3,0.674948557710553,7.3,4.73644603997718e-05,0.180833627798751,3.40921605505816e-09,1
0.05,0.0001,SpaRSA,0.53739599,0.031363415908222,38.8,2.5298221281347,11.6,0.00422686507039097,0.180098311920524,2.07392756346593e-05,1
0.05,0.0001,TMAP-CG,0.59311417,0.0723077106483127,194.7,21.1872603231281,6,0.000714828439354658,0.180715276311563,3.95809192566982e-06,1
